metric,json_path,row_count
dataunitsreadlower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\dataunitsreadlower.json,4802
dataunitsreadupper,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\dataunitsreadupper.json,4802
dataunitswrittenlower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\dataunitswrittenlower.json,4802
dataunitswrittenupper,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\dataunitswrittenupper.json,4802
ddrlimitingcounter,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\ddrlimitingcounter.json,60045
drampkgenergy,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\drampkgenergy.json,60045
drampwr,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\drampwr.json,60045
dramthrottling,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\dramthrottling.json,60045
energytimestamp,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\energytimestamp.json,60045
hostreadcommandslower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\hostreadcommandslower.json,4802
hostreadcommandsupper,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\hostreadcommandsupper.json,4802
hostwritecommandslower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\hostwritecommandslower.json,4802
hostwritecommandsupper,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\hostwritecommandsupper.json,4802
iousage,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\iousage.json,30022
itue,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\itue.json,30024
limitingevents,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\limitingevents.json,60045
mediadataintegrityerrorslower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\mediadataintegrityerrorslower.json,4802
mediadataintegrityerrorsupper,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\mediadataintegrityerrorsupper.json,4802
memoryusage,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\memoryusage.json,30022
nonc0residencyhigh,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\nonc0residencyhigh.json,60045
nonc0residencylow,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\nonc0residencylow.json,60045
numoferrorinfologentrieslower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\numoferrorinfologentrieslower.json,4802
numoferrorinfologentriesupper,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\numoferrorinfologentriesupper.json,4802
percentageused,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\percentageused.json,4802
pkgpwr,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\pkgpwr.json,60045
pkgthermalstatus,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\pkgthermalstatus.json,60045
powercycleslower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\powercycleslower.json,4802
powercyclesupper,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\powercyclesupper.json,4802
poweronhourslower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\poweronhourslower.json,4802
poweronhoursupper,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\poweronhoursupper.json,4802
powertocoolratio,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\powertocoolratio.json,30026
psuefficiency,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\psuefficiency.json,30028
psurpmreading,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\psurpmreading.json,60008
psutemperaturereading,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\psutemperaturereading.json,60015
rpmreading,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\rpmreading.json,359639
sysairflowefficiency,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\sysairflowefficiency.json,30032
sysairflowperfanpower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\sysairflowperfanpower.json,30032
sysairflowpersysinputpower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\sysairflowpersysinputpower.json,30031
sysairflowutilization,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\sysairflowutilization.json,30032
sysnetairflow,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\sysnetairflow.json,30031
sysracktempdelta,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\sysracktempdelta.json,30024
systemheadroominstantaneous,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\systemheadroominstantaneous.json,30038
systeminputpower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\systeminputpower.json,30036
systemoutputpower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\systemoutputpower.json,30034
systempowerconsumption,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\systempowerconsumption.json,30037
tctrl,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\tctrl.json,60045
temperaturereading,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\temperaturereading.json,928607
thermalcrtlcircuitactivation,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\thermalcrtlcircuitactivation.json,60045
tjmax,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\tjmax.json,60045
totalcpupower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\totalcpupower.json,30032
totalfanpower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\totalfanpower.json,30031
totalfpgapower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\totalfpgapower.json,30021
totalmemorypower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\totalmemorypower.json,30037
totalpciepower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\totalpciepower.json,30022
totalpsuheatdissipation,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\totalpsuheatdissipation.json,30032
totalstoragepower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\totalstoragepower.json,30025
uncoreclockshigh,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\uncoreclockshigh.json,60037
uncoreclockslow,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\uncoreclockslow.json,60045
unsafeshutdownslower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\unsafeshutdownslower.json,4802
unsafeshutdownsupper,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\unsafeshutdownsupper.json,4802
voltagereading,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\voltagereading.json,236402
wattsreading,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\wattsreading.json,29151
