metric,json_path,row_count
acccorecycleshigh,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\acccorecycleshigh.json,60045
acccorecycleslow,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\acccorecycleslow.json,60045
aggregateusage,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\aggregateusage.json,30022
ampsreading,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\ampsreading.json,58716
availablespare,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\availablespare.json,4802
availablesparethreshold,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\availablesparethreshold.json,4802
avgfrequencyacrosscores,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\avgfrequencyacrosscores.json,60045
compositetemperature,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\compositetemperature.json,4802
computepower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\computepower.json,30033
controllerbusytimelower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\controllerbusytimelower.json,4802
controllerbusytimeupper,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\controllerbusytimeupper.json,4802
cpuavgpbmratiocounterlow,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cpuavgpbmratiocounterlow.json,60045
cpuc0residencyhigh,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cpuc0residencyhigh.json,60045
cpuc0residencylow,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cpuc0residencylow.json,60045
cpuepi,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cpuepi.json,60045
cpulimitingcounter,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cpulimitingcounter.json,60045
cpupkgenergy,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cpupkgenergy.json,60045
cpupower,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cpupower.json,60055
cpuusage,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cpuusage.json,30036
cpuusagepctreading,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cpuusagepctreading.json,29271
cpuviolationcounter,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cpuviolationcounter.json,60045
criticalwarning,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\criticalwarning.json,4802
cupsiiobandwidthdmi,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cupsiiobandwidthdmi.json,60045
cupsiiobandwidthport0,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cupsiiobandwidthport0.json,60045
cupsiiobandwidthport1,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cupsiiobandwidthport1.json,60045
cupsiiobandwidthport2,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cupsiiobandwidthport2.json,60045
cupsiiobandwidthport3,T:\HPCC\dataFromDB\metrics_output_october\zen4\with_data\cupsiiobandwidthport3.json,60045
