metric,json_path,row_count
acccorecycleshigh,T:\HPCC\dataFromDB\metrics_output\with_data\acccorecycleshigh.json,125533
acccorecycleslow,T:\HPCC\dataFromDB\metrics_output\with_data\acccorecycleslow.json,125533
aggregateusage,T:\HPCC\dataFromDB\metrics_output\with_data\aggregateusage.json,62767
ampsreading,T:\HPCC\dataFromDB\metrics_output\with_data\ampsreading.json,125553
availablespare,T:\HPCC\dataFromDB\metrics_output\with_data\availablespare.json,10641
availablesparethreshold,T:\HPCC\dataFromDB\metrics_output\with_data\availablesparethreshold.json,10641
avgfrequencyacrosscores,T:\HPCC\dataFromDB\metrics_output\with_data\avgfrequencyacrosscores.json,125533
compositetemperature,T:\HPCC\dataFromDB\metrics_output\with_data\compositetemperature.json,10641
computepower,T:\HPCC\dataFromDB\metrics_output\with_data\computepower.json,62771
controllerbusytimelower,T:\HPCC\dataFromDB\metrics_output\with_data\controllerbusytimelower.json,10641
controllerbusytimeupper,T:\HPCC\dataFromDB\metrics_output\with_data\controllerbusytimeupper.json,10641
cpuavgpbmratiocounterlow,T:\HPCC\dataFromDB\metrics_output\with_data\cpuavgpbmratiocounterlow.json,125533
cpuc0residencyhigh,T:\HPCC\dataFromDB\metrics_output\with_data\cpuc0residencyhigh.json,125533
cpuc0residencylow,T:\HPCC\dataFromDB\metrics_output\with_data\cpuc0residencylow.json,125533
cpuepi,T:\HPCC\dataFromDB\metrics_output\with_data\cpuepi.json,125533
cpulimitingcounter,T:\HPCC\dataFromDB\metrics_output\with_data\cpulimitingcounter.json,125533
cpupkgenergy,T:\HPCC\dataFromDB\metrics_output\with_data\cpupkgenergy.json,125533
cpupower,T:\HPCC\dataFromDB\metrics_output\with_data\cpupower.json,125549
cpuusage,T:\HPCC\dataFromDB\metrics_output\with_data\cpuusage.json,62771
cpuusagepctreading,T:\HPCC\dataFromDB\metrics_output\with_data\cpuusagepctreading.json,62776
cpuviolationcounter,T:\HPCC\dataFromDB\metrics_output\with_data\cpuviolationcounter.json,125533
criticalwarning,T:\HPCC\dataFromDB\metrics_output\with_data\criticalwarning.json,10641
cupsiiobandwidthdmi,T:\HPCC\dataFromDB\metrics_output\with_data\cupsiiobandwidthdmi.json,125533
cupsiiobandwidthport0,T:\HPCC\dataFromDB\metrics_output\with_data\cupsiiobandwidthport0.json,125533
cupsiiobandwidthport1,T:\HPCC\dataFromDB\metrics_output\with_data\cupsiiobandwidthport1.json,125533
cupsiiobandwidthport2,T:\HPCC\dataFromDB\metrics_output\with_data\cupsiiobandwidthport2.json,125533
cupsiiobandwidthport3,T:\HPCC\dataFromDB\metrics_output\with_data\cupsiiobandwidthport3.json,125533
dataunitsreadlower,T:\HPCC\dataFromDB\metrics_output\with_data\dataunitsreadlower.json,10641
dataunitsreadupper,T:\HPCC\dataFromDB\metrics_output\with_data\dataunitsreadupper.json,10641
dataunitswrittenlower,T:\HPCC\dataFromDB\metrics_output\with_data\dataunitswrittenlower.json,10641
dataunitswrittenupper,T:\HPCC\dataFromDB\metrics_output\with_data\dataunitswrittenupper.json,10641
ddrlimitingcounter,T:\HPCC\dataFromDB\metrics_output\with_data\ddrlimitingcounter.json,125533
drampkgenergy,T:\HPCC\dataFromDB\metrics_output\with_data\drampkgenergy.json,125533
drampwr,T:\HPCC\dataFromDB\metrics_output\with_data\drampwr.json,125533
dramthrottling,T:\HPCC\dataFromDB\metrics_output\with_data\dramthrottling.json,125533
energytimestamp,T:\HPCC\dataFromDB\metrics_output\with_data\energytimestamp.json,125533
hostreadcommandslower,T:\HPCC\dataFromDB\metrics_output\with_data\hostreadcommandslower.json,10641
hostreadcommandsupper,T:\HPCC\dataFromDB\metrics_output\with_data\hostreadcommandsupper.json,10641
hostwritecommandslower,T:\HPCC\dataFromDB\metrics_output\with_data\hostwritecommandslower.json,10641
hostwritecommandsupper,T:\HPCC\dataFromDB\metrics_output\with_data\hostwritecommandsupper.json,10641
iousage,T:\HPCC\dataFromDB\metrics_output\with_data\iousage.json,62767
itue,T:\HPCC\dataFromDB\metrics_output\with_data\itue.json,62771
limitingevents,T:\HPCC\dataFromDB\metrics_output\with_data\limitingevents.json,125533
mediadataintegrityerrorslower,T:\HPCC\dataFromDB\metrics_output\with_data\mediadataintegrityerrorslower.json,10641
mediadataintegrityerrorsupper,T:\HPCC\dataFromDB\metrics_output\with_data\mediadataintegrityerrorsupper.json,10641
memoryusage,T:\HPCC\dataFromDB\metrics_output\with_data\memoryusage.json,62767
nonc0residencyhigh,T:\HPCC\dataFromDB\metrics_output\with_data\nonc0residencyhigh.json,125533
nonc0residencylow,T:\HPCC\dataFromDB\metrics_output\with_data\nonc0residencylow.json,125533
numoferrorinfologentrieslower,T:\HPCC\dataFromDB\metrics_output\with_data\numoferrorinfologentrieslower.json,10641
numoferrorinfologentriesupper,T:\HPCC\dataFromDB\metrics_output\with_data\numoferrorinfologentriesupper.json,10641
percentageused,T:\HPCC\dataFromDB\metrics_output\with_data\percentageused.json,10641
pkgpwr,T:\HPCC\dataFromDB\metrics_output\with_data\pkgpwr.json,125533
pkgthermalstatus,T:\HPCC\dataFromDB\metrics_output\with_data\pkgthermalstatus.json,125533
powercycleslower,T:\HPCC\dataFromDB\metrics_output\with_data\powercycleslower.json,10641
powercyclesupper,T:\HPCC\dataFromDB\metrics_output\with_data\powercyclesupper.json,10641
poweronhourslower,T:\HPCC\dataFromDB\metrics_output\with_data\poweronhourslower.json,10641
poweronhoursupper,T:\HPCC\dataFromDB\metrics_output\with_data\poweronhoursupper.json,10641
powertocoolratio,T:\HPCC\dataFromDB\metrics_output\with_data\powertocoolratio.json,62777
psuefficiency,T:\HPCC\dataFromDB\metrics_output\with_data\psuefficiency.json,62769
psurpmreading,T:\HPCC\dataFromDB\metrics_output\with_data\psurpmreading.json,125497
psutemperaturereading,T:\HPCC\dataFromDB\metrics_output\with_data\psutemperaturereading.json,125509
