metric,json_path,row_count
rpmreading,T:\HPCC\dataFromDB\metrics_output\with_data\rpmreading.json,753428
sysairflowefficiency,T:\HPCC\dataFromDB\metrics_output\with_data\sysairflowefficiency.json,62772
sysairflowperfanpower,T:\HPCC\dataFromDB\metrics_output\with_data\sysairflowperfanpower.json,62769
sysairflowpersysinputpower,T:\HPCC\dataFromDB\metrics_output\with_data\sysairflowpersysinputpower.json,62776
sysairflowutilization,T:\HPCC\dataFromDB\metrics_output\with_data\sysairflowutilization.json,62768
sysnetairflow,T:\HPCC\dataFromDB\metrics_output\with_data\sysnetairflow.json,62774
sysracktempdelta,T:\HPCC\dataFromDB\metrics_output\with_data\sysracktempdelta.json,62766
systemheadroominstantaneous,T:\HPCC\dataFromDB\metrics_output\with_data\systemheadroominstantaneous.json,62773
systeminputpower,T:\HPCC\dataFromDB\metrics_output\with_data\systeminputpower.json,62772
systemoutputpower,T:\HPCC\dataFromDB\metrics_output\with_data\systemoutputpower.json,62771
systempowerconsumption,T:\HPCC\dataFromDB\metrics_output\with_data\systempowerconsumption.json,62773
tctrl,T:\HPCC\dataFromDB\metrics_output\with_data\tctrl.json,125533
temperaturereading,T:\HPCC\dataFromDB\metrics_output\with_data\temperaturereading.json,1945929
thermalcrtlcircuitactivation,T:\HPCC\dataFromDB\metrics_output\with_data\thermalcrtlcircuitactivation.json,125533
tjmax,T:\HPCC\dataFromDB\metrics_output\with_data\tjmax.json,125533
totalcpupower,T:\HPCC\dataFromDB\metrics_output\with_data\totalcpupower.json,62777
totalfanpower,T:\HPCC\dataFromDB\metrics_output\with_data\totalfanpower.json,62771
totalfpgapower,T:\HPCC\dataFromDB\metrics_output\with_data\totalfpgapower.json,62766
totalmemorypower,T:\HPCC\dataFromDB\metrics_output\with_data\totalmemorypower.json,62771
totalpciepower,T:\HPCC\dataFromDB\metrics_output\with_data\totalpciepower.json,62766
totalpsuheatdissipation,T:\HPCC\dataFromDB\metrics_output\with_data\totalpsuheatdissipation.json,62774
totalstoragepower,T:\HPCC\dataFromDB\metrics_output\with_data\totalstoragepower.json,62774
uncoreclockshigh,T:\HPCC\dataFromDB\metrics_output\with_data\uncoreclockshigh.json,125527
uncoreclockslow,T:\HPCC\dataFromDB\metrics_output\with_data\uncoreclockslow.json,125533
unsafeshutdownslower,T:\HPCC\dataFromDB\metrics_output\with_data\unsafeshutdownslower.json,10641
unsafeshutdownsupper,T:\HPCC\dataFromDB\metrics_output\with_data\unsafeshutdownsupper.json,10641
voltagereading,T:\HPCC\dataFromDB\metrics_output\with_data\voltagereading.json,502193
wattsreading,T:\HPCC\dataFromDB\metrics_output\with_data\wattsreading.json,62776
