metric,json_path,row_count
eccerate,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\eccerate.json,328
energytimestamp,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\energytimestamp.json,4422
erasefailcount,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\erasefailcount.json,328
exceptionmodestatus,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\exceptionmodestatus.json,328
gpuarbitratedpowerlimit,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\gpuarbitratedpowerlimit.json,7447
gpuclockfrequency,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\gpuclockfrequency.json,8491
gpumemoryclockfrequency,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\gpumemoryclockfrequency.json,8491
gpumemoryusage,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\gpumemoryusage.json,7447
gpuusage,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\gpuusage.json,7447
hostreadcommandslower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\hostreadcommandslower.json,366
hostreadcommandsupper,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\hostreadcommandsupper.json,366
hostwritecommandslower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\hostwritecommandslower.json,366
hostwritecommandsupper,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\hostwritecommandsupper.json,366
iousage,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\iousage.json,2209
iousagepctreading,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\iousagepctreading.json,2210
itue,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\itue.json,2208
limitingevents,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\limitingevents.json,4421
mediadataintegrityerrorslower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\mediadataintegrityerrorslower.json,366
mediadataintegrityerrorsupper,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\mediadataintegrityerrorsupper.json,366
mediawritecount,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\mediawritecount.json,328
memorytemperature,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\memorytemperature.json,8491
memoryusage,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\memoryusage.json,2210
memoryusagepctreading,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\memoryusagepctreading.json,2210
nonc0residencyhigh,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\nonc0residencyhigh.json,4416
nonc0residencylow,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\nonc0residencylow.json,4416
numoferrorinfologentrieslower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\numoferrorinfologentrieslower.json,366
numoferrorinfologentriesupper,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\numoferrorinfologentriesupper.json,366
percentageused,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\percentageused.json,366
percentdriveliferemaining,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\percentdriveliferemaining.json,328
pkgpwr,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\pkgpwr.json,4419
pkgthermalstatus,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\pkgthermalstatus.json,4420
powerconsumption,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\powerconsumption.json,7447
powercyclecount,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\powercyclecount.json,328
powercycleslower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\powercycleslower.json,366
powercyclesupper,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\powercyclesupper.json,366
poweronhours,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\poweronhours.json,328
poweronhourslower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\poweronhourslower.json,366
poweronhoursupper,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\poweronhoursupper.json,366
powertocoolratio,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\powertocoolratio.json,2210
primarytemperature,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\primarytemperature.json,8491
programfailcount,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\programfailcount.json,328
psuefficiency,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\psuefficiency.json,2210
psurpmreading,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\psurpmreading.json,4417
psutemperaturereading,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\psutemperaturereading.json,4417
readerrorrate,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\readerrorrate.json,328
reallocatedblockcount,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\reallocatedblockcount.json,328
rpmreading,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\rpmreading.json,26529
sysairflowefficiency,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\sysairflowefficiency.json,2210
sysairflowperfanpower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\sysairflowperfanpower.json,2209
sysairflowpersysinputpower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\sysairflowpersysinputpower.json,2211
sysairflowutilization,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\sysairflowutilization.json,2210
sysnetairflow,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\sysnetairflow.json,2210
sysracktempdelta,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\sysracktempdelta.json,2212
systemheadroominstantaneous,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\systemheadroominstantaneous.json,2210
systeminputpower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\systeminputpower.json,2210
systemoutputpower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\systemoutputpower.json,2211
systempowerconsumption,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\systempowerconsumption.json,2209
systemusagepctreading,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\systemusagepctreading.json,2209
tctrl,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\tctrl.json,4420
temperaturereading,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\temperaturereading.json,58742
thermalcrtlcircuitactivation,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\thermalcrtlcircuitactivation.json,4416
tjmax,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\tjmax.json,4420
totalcpupower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\totalcpupower.json,2210
totalfanpower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\totalfanpower.json,2210
totalfpgapower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\totalfpgapower.json,2208
totalmemorypower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\totalmemorypower.json,2210
totalpciepower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\totalpciepower.json,2208
totalpsuheatdissipation,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\totalpsuheatdissipation.json,2212
totalstoragepower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\totalstoragepower.json,2210
uncoreclockshigh,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\uncoreclockshigh.json,4416
uncoreclockslow,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\uncoreclockslow.json,4416
uncorrectableerrorcount,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\uncorrectableerrorcount.json,328
uncorrectablelbacount,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\uncorrectablelbacount.json,328
unsafeshutdownslower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\unsafeshutdownslower.json,366
unsafeshutdownsupper,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\unsafeshutdownsupper.json,366
unusedreservedblockcount,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\unusedreservedblockcount.json,328
usedreservedblockcount,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\usedreservedblockcount.json,328
volatilememorybackupsourcefailures,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\volatilememorybackupsourcefailures.json,328
voltagereading,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\voltagereading.json,17268
wattsreading,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\wattsreading.json,2210
