metric,json_path,row_count
acccorecycleshigh,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\acccorecycleshigh.json,4416
acccorecycleslow,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\acccorecycleslow.json,4416
aggregateusage,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\aggregateusage.json,2210
ampsreading,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\ampsreading.json,4419
availablespare,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\availablespare.json,366
availablesparethreshold,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\availablesparethreshold.json,366
avgfrequencyacrosscores,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\avgfrequencyacrosscores.json,4422
commandtimeout,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\commandtimeout.json,328
compositetemperature,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\compositetemperature.json,366
computepower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\computepower.json,2211
controllerbusytimelower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\controllerbusytimelower.json,366
controllerbusytimeupper,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\controllerbusytimeupper.json,366
cpuavgpbmratiocounterlow,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cpuavgpbmratiocounterlow.json,4422
cpuc0residencyhigh,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cpuc0residencyhigh.json,4422
cpuc0residencylow,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cpuc0residencylow.json,4422
cpuepi,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cpuepi.json,4422
cpulimitingcounter,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cpulimitingcounter.json,4418
cpupkgenergy,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cpupkgenergy.json,4422
cpupower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cpupower.json,4421
cpuusage,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cpuusage.json,2210
cpuusagepctreading,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cpuusagepctreading.json,2208
cpuviolationcounter,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cpuviolationcounter.json,4421
crcerrorcount,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\crcerrorcount.json,328
criticalwarning,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\criticalwarning.json,366
cupsiiobandwidthdmi,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cupsiiobandwidthdmi.json,4416
cupsiiobandwidthport0,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cupsiiobandwidthport0.json,4416
cupsiiobandwidthport1,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cupsiiobandwidthport1.json,4416
cupsiiobandwidthport2,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cupsiiobandwidthport2.json,4416
cupsiiobandwidthport3,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\cupsiiobandwidthport3.json,4416
currentpendingsectorcount,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\currentpendingsectorcount.json,328
dataunitsreadlower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\dataunitsreadlower.json,366
dataunitsreadupper,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\dataunitsreadupper.json,366
dataunitswrittenlower,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\dataunitswrittenlower.json,366
dataunitswrittenupper,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\dataunitswrittenupper.json,366
ddrlimitingcounter,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\ddrlimitingcounter.json,4417
drampkgenergy,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\drampkgenergy.json,4422
drampwr,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\drampwr.json,4418
dramthrottling,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\dramthrottling.json,4417
drivetemperature,T:\HPCC\dataFromDB\metrics_output_october\h100\with_data\drivetemperature.json,328
